Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.19468,t4,0,225,0,bid,75.0,Trader_AA,0,0
0.19472,t20,0,300,0,ask,367.0,Trader_AA,0,0
0.19474,t14,0,150,0,ask,295.0,Trader_AA,0,0
0.19477,t10,0,75,0,bid,75.0,Trader_AA,0,0
0.19479,t11,0,75,0,ask,222.0,Trader_AA,0,0
0.19482,t8,0,125,0,bid,92.0,Trader_AA,0,0
0.19484,t1,0,300,0,bid,137.0,Trader_AA,0,0
0.19486,t0,0,325,0,bid,167.0,Trader_AA,0,0
0.19489,t7,0,150,0,bid,161.0,Trader_AA,0,0
0.19491,t15,0,175,0,ask,206.0,Trader_AA,0,0
0.19494,t2,0,275,0,bid,181.0,Trader_AA,0,0
0.19496,t13,0,125,0,ask,196.0,Trader_AA,0,0
0.19499,t12,0,100,0,ask,190.0,Trader_AA,0,0
0.19501,t3,0,250,0,bid,185.0,Trader_AA,0,0
0.19506,t16,0,200,0,ask,193.0,Trader_AA,0,0
0.19509,t19,0,275,0,ask,218.0,Trader_AA,0,0
0.19511,t9,0,100,0,bid,157.0,Trader_AA,0,0
0.19514,t17,0,225,0,ask,202.0,Trader_AA,0,0
0.19517,t6,0,175,0,bid,182.0,Trader_AA,0,0
0.19519,t21,0,325,0,ask,235.0,Trader_AA,0,0
0.19524,t5,0,200,0,bid,188.0,Trader_AA,0,0
0.19526,t18,0,250,0,ask,210.0,Trader_AA,0,0
0.19533,t5,0,200,0,bid,190.0,Trader_AA,0,1
0.19536,t12,0,100,0,ask,189.0,Trader_AA,0,1,"Contract:(190.0, 't5', 't12', 0.19536)"
0.19541,t19,0,275,0,ask,358.0,Trader_AA,0,1
0.19544,t17,0,225,0,ask,314.0,Trader_AA,0,1
0.19547,t13,0,125,0,ask,251.0,Trader_AA,0,1
0.19552,t16,0,200,0,ask,234.0,Trader_AA,0,1
0.19555,t11,0,75,0,ask,181.0,Trader_AA,0,1
0.19558,t20,0,300,0,ask,221.0,Trader_AA,0,1
0.1956,t9,0,100,0,bid,33.0,Trader_AA,0,1
0.19564,t3,0,250,0,bid,84.0,Trader_AA,0,1
0.19567,t14,0,150,0,ask,171.0,Trader_AA,0,1
0.1957,t15,0,175,0,ask,172.0,Trader_AA,0,1
0.19573,t6,0,175,0,bid,114.0,Trader_AA,0,1
0.19576,t2,0,275,0,bid,134.0,Trader_AA,0,1
0.19579,t10,0,75,0,bid,114.0,Trader_AA,0,1
0.19582,t21,0,325,0,ask,222.0,Trader_AA,0,1
0.19585,t7,0,150,0,bid,139.0,Trader_AA,0,1
0.19588,t1,0,300,0,bid,151.0,Trader_AA,0,1
0.19591,t18,0,250,0,ask,197.0,Trader_AA,0,1
0.19594,t4,0,225,0,bid,159.0,Trader_AA,0,1
0.19598,t8,0,125,0,bid,148.0,Trader_AA,0,1
0.19604,t0,0,325,0,bid,164.0,Trader_AA,0,1
0.19609,t9,0,100,0,bid,143.0,Trader_AA,0,2
0.19614,t18,0,250,0,ask,197.0,Trader_AA,0,2
0.19617,t3,0,250,0,bid,167.0,Trader_AA,0,2
0.19621,t13,0,125,0,ask,169.0,Trader_AA,0,2
0.19624,t11,0,75,0,ask,167.0,Trader_AA,0,2
0.19633,t6,0,175,0,bid,168.0,Trader_AA,0,2,"Contract:(167.0, 't6', 't11', 0.19633)"
0.1964,t16,0,200,0,ask,333.0,Trader_AA,0,2
0.19644,t15,0,175,0,ask,280.0,Trader_AA,0,2
0.19647,t1,0,300,0,bid,95.0,Trader_AA,0,2
0.19651,t4,0,225,0,bid,138.0,Trader_AA,0,2
0.19654,t19,0,275,0,ask,278.0,Trader_AA,0,2
0.19658,t2,0,275,0,bid,184.0,Trader_AA,0,2
0.19661,t14,0,150,0,ask,245.0,Trader_AA,0,2
0.19665,t7,0,150,0,bid,173.0,Trader_AA,0,2
0.19668,t0,0,325,0,bid,206.0,Trader_AA,0,2
0.19672,t10,0,75,0,bid,162.0,Trader_AA,0,2
0.19675,t20,0,300,0,ask,263.0,Trader_AA,0,2
0.19679,t8,0,125,0,bid,179.0,Trader_AA,0,2
0.19683,t17,0,225,0,ask,238.0,Trader_AA,0,2
0.19686,t21,0,325,0,ask,267.0,Trader_AA,0,2
0.19692,t15,0,175,0,ask,226.0,Trader_AA,0,3
0.19696,t18,0,250,0,ask,234.0,Trader_AA,0,3
0.19699,t9,0,100,0,bid,171.0,Trader_AA,0,3
0.19703,t1,0,300,0,bid,214.0,Trader_AA,0,3
0.19874,t17,0,225,0,ask,226.0,Trader_AA,0,3
0.19881,t4,0,225,0,bid,218.0,Trader_AA,0,3
0.19885,t14,0,150,0,ask,222.0,Trader_AA,0,3
