Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.20029,t13,0,125,0,ask,308.0,Trader_AA,0,0
0.20032,t0,0,325,0,bid,105.0,Trader_AA,0,0
0.20035,t10,0,75,0,bid,95.0,Trader_AA,0,0
0.20037,t2,0,275,0,bid,162.0,Trader_AA,0,0
0.2004,t1,0,300,0,bid,208.0,Trader_AA,0,0
0.20042,t7,0,150,0,bid,189.0,Trader_AA,0,0
0.20045,t18,0,250,0,ask,289.0,Trader_AA,0,0
0.20047,t17,0,225,0,ask,268.0,Trader_AA,0,0
0.20052,t5,0,200,0,bid,205.0,Trader_AA,0,0
0.20054,t9,0,100,0,bid,172.0,Trader_AA,0,0
0.20056,t11,0,75,0,ask,247.0,Trader_AA,0,0
0.20059,t3,0,250,0,bid,222.0,Trader_AA,0,0
0.20062,t15,0,175,0,ask,237.0,Trader_AA,0,0
0.20064,t6,0,175,0,bid,206.0,Trader_AA,0,0
0.20067,t21,0,325,0,ask,266.0,Trader_AA,0,0
0.20069,t20,0,300,0,ask,258.0,Trader_AA,0,0
0.20074,t16,0,200,0,ask,231.0,Trader_AA,0,0
0.20076,t14,0,150,0,ask,227.0,Trader_AA,0,0
0.20079,t12,0,100,0,ask,224.0,Trader_AA,0,0
0.20082,t4,0,225,0,bid,223.0,Trader_AA,0,0
0.20084,t8,0,125,0,bid,190.0,Trader_AA,0,0
0.20087,t19,0,275,0,ask,241.0,Trader_AA,0,0
0.20092,t8,0,125,0,bid,190.0,Trader_AA,0,1
0.20094,t14,0,150,0,ask,222.0,Trader_AA,0,1
0.20102,t5,0,200,0,bid,67.0,Trader_AA,0,1
0.20106,t2,0,275,0,bid,136.0,Trader_AA,0,1
0.20116,t13,0,125,0,ask,311.0,Trader_AA,0,1
0.20122,t17,0,225,0,ask,282.0,Trader_AA,0,1
0.20125,t19,0,275,0,ask,280.0,Trader_AA,0,1
0.20128,t18,0,250,0,ask,270.0,Trader_AA,0,1
0.20133,t16,0,200,0,ask,247.0,Trader_AA,0,1
0.20136,t3,0,250,0,bid,174.0,Trader_AA,0,1
0.20138,t9,0,100,0,bid,149.0,Trader_AA,0,1
0.20141,t20,0,300,0,ask,265.0,Trader_AA,0,1
0.20144,t1,0,300,0,bid,200.0,Trader_AA,0,1
0.20147,t10,0,75,0,bid,158.0,Trader_AA,0,1
0.2015,t12,0,100,0,ask,230.0,Trader_AA,0,1
0.20153,t11,0,75,0,ask,219.0,Trader_AA,0,1
0.20159,t7,0,150,0,bid,183.0,Trader_AA,0,1
0.20162,t21,0,325,0,ask,254.0,Trader_AA,0,1
0.20165,t15,0,175,0,ask,211.0,Trader_AA,0,1
0.20169,t6,0,175,0,bid,192.0,Trader_AA,0,1
0.20172,t0,0,325,0,bid,205.0,Trader_AA,0,1
0.20177,t12,0,100,0,ask,208.0,Trader_AA,0,2
0.2018,t10,0,75,0,bid,162.0,Trader_AA,0,2
0.20185,t9,0,100,0,bid,170.0,Trader_AA,0,2
0.2019,t8,0,125,0,bid,178.0,Trader_AA,0,2
0.20193,t11,0,75,0,ask,206.0,Trader_AA,0,2
0.20196,t15,0,175,0,ask,204.0,Trader_AA,0,2,"Contract:(205.0, 't0', 't15', 0.20197)"
0.20202,t3,0,250,0,bid,83.0,Trader_AA,0,2
0.20207,t16,0,200,0,ask,333.0,Trader_AA,0,2
0.20211,t20,0,300,0,ask,322.0,Trader_AA,0,2
0.20216,t6,0,175,0,bid,114.0,Trader_AA,0,2
0.20222,t5,0,200,0,bid,143.0,Trader_AA,0,2
0.20225,t2,0,275,0,bid,187.0,Trader_AA,0,2
0.20229,t7,0,150,0,bid,175.0,Trader_AA,0,2
0.20232,t17,0,225,0,ask,290.0,Trader_AA,0,2
0.20236,t1,0,300,0,bid,223.0,Trader_AA,0,2
0.20239,t21,0,325,0,ask,302.0,Trader_AA,0,2
0.20243,t18,0,250,0,ask,277.0,Trader_AA,0,2
0.20246,t13,0,125,0,ask,258.0,Trader_AA,0,2
0.2025,t19,0,275,0,ask,264.0,Trader_AA,0,2
0.20255,t13,0,125,0,ask,245.0,Trader_AA,0,3
0.20259,t9,0,100,0,bid,182.0,Trader_AA,0,3
0.20265,t16,0,200,0,ask,236.0,Trader_AA,0,3
0.20271,t11,0,75,0,ask,230.0,Trader_AA,0,3
0.20275,t6,0,175,0,bid,207.0,Trader_AA,0,3
0.20281,t19,0,275,0,ask,245.0,Trader_AA,0,3
0.20285,t17,0,225,0,ask,228.0,Trader_AA,0,3
0.20288,t20,0,300,0,ask,252.0,Trader_AA,0,3
0.20292,t7,0,150,0,bid,199.0,Trader_AA,0,3
0.20296,t1,0,300,0,bid,226.0,Trader_AA,0,3
0.203,t12,0,100,0,ask,226.0,Trader_AA,0,3
0.20304,t2,0,275,0,bid,228.0,Trader_AA,0,3,"Contract:(226.0, 't2', 't12', 0.20304)"
0.2031,t21,0,325,0,ask,375.0,Trader_AA,0,3
0.20314,t18,0,250,0,ask,333.0,Trader_AA,0,3
0.20318,t3,0,250,0,bid,83.0,Trader_AA,0,3
0.20322,t10,0,75,0,bid,80.0,Trader_AA,0,3
0.20328,t8,0,125,0,bid,97.0,Trader_AA,0,3
0.20337,t5,0,200,0,bid,131.0,Trader_AA,0,3
0.20343,t7,0,150,0,bid,137.0,Trader_AA,0,4
0.20347,t21,0,325,0,ask,330.0,Trader_AA,0,4
0.20353,t5,0,200,0,bid,158.0,Trader_AA,0,4
0.20365,t10,0,75,0,bid,130.0,Trader_AA,0,4
0.2037,t18,0,250,0,ask,303.0,Trader_AA,0,4
0.20374,t6,0,175,0,bid,164.0,Trader_AA,0,4
0.20384,t19,0,275,0,ask,294.0,Trader_AA,0,4
0.20388,t20,0,300,0,ask,296.0,Trader_AA,0,4
0.20392,t1,0,300,0,bid,209.0,Trader_AA,0,4
0.20396,t11,0,75,0,ask,264.0,Trader_AA,0,4
0.204,t13,0,125,0,ask,244.0,Trader_AA,0,4
0.20406,t8,0,125,0,bid,181.0,Trader_AA,0,4
0.20412,t9,0,100,0,bid,173.0,Trader_AA,0,4
0.20421,t3,0,250,0,bid,222.0,Trader_AA,0,4
0.20427,t16,0,200,0,ask,235.0,Trader_AA,0,4
0.20432,t17,0,225,0,ask,232.0,Trader_AA,0,4
0.20449,t21,0,325,0,ask,263.0,Trader_AA,0,5
0.20454,t11,0,75,0,ask,227.0,Trader_AA,0,5
0.20458,t17,0,225,0,ask,226.0,Trader_AA,0,5
0.20463,t18,0,250,0,ask,234.0,Trader_AA,0,5
0.20467,t13,0,125,0,ask,223.0,Trader_AA,0,5
0.20472,t3,0,250,0,bid,224.0,Trader_AA,0,5,"Contract:(223.0, 't3', 't13', 0.20472)"
0.20478,t8,0,125,0,bid,42.0,Trader_AA,0,5
0.20483,t20,0,300,0,ask,367.0,Trader_AA,0,5
0.20488,t1,0,300,0,bid,128.0,Trader_AA,0,5
0.20492,t7,0,150,0,bid,135.0,Trader_AA,0,5
0.205,t19,0,275,0,ask,336.0,Trader_AA,0,5
0.20507,t5,0,200,0,bid,157.0,Trader_AA,0,5
0.20517,t16,0,200,0,ask,291.0,Trader_AA,0,5
0.20522,t6,0,175,0,bid,163.0,Trader_AA,0,5
0.20527,t10,0,75,0,bid,134.0,Trader_AA,0,5
0.20532,t9,0,100,0,bid,142.0,Trader_AA,0,5
0.20541,t10,0,75,0,bid,134.0,Trader_AA,0,6
0.20546,t9,0,100,0,bid,142.0,Trader_AA,0,6
0.20553,t16,0,200,0,ask,261.0,Trader_AA,0,6
0.20563,t5,0,200,0,bid,175.0,Trader_AA,0,6
0.20575,t7,0,150,0,bid,167.0,Trader_AA,0,6
0.2058,t17,0,225,0,ask,249.0,Trader_AA,0,6
0.20585,t21,0,325,0,ask,274.0,Trader_AA,0,6
0.20589,t11,0,75,0,ask,223.0,Trader_AA,0,6
0.20594,t20,0,300,0,ask,249.0,Trader_AA,0,6
0.20599,t8,0,125,0,bid,158.0,Trader_AA,0,6
0.2063,t6,0,175,0,bid,175.0,Trader_AA,0,6
0.20635,t1,0,300,0,bid,192.0,Trader_AA,0,6
0.2064,t19,0,275,0,ask,240.0,Trader_AA,0,6
0.20645,t18,0,250,0,ask,232.0,Trader_AA,0,6
0.20662,t20,0,300,0,ask,249.0,Trader_AA,0,7
0.20667,t6,0,175,0,bid,186.0,Trader_AA,0,7
0.20672,t19,0,275,0,ask,240.0,Trader_AA,0,7
0.2068,t17,0,225,0,ask,224.0,Trader_AA,0,7
0.20685,t18,0,250,0,ask,232.0,Trader_AA,0,7
0.20703,t5,0,200,0,bid,195.0,Trader_AA,0,7
0.20715,t21,0,325,0,ask,257.0,Trader_AA,0,7
0.20723,t16,0,200,0,ask,215.0,Trader_AA,0,7
0.20728,t1,0,300,0,bid,203.0,Trader_AA,0,7
0.20737,t10,0,75,0,bid,160.0,Trader_AA,0,7
0.20746,t8,0,125,0,bid,177.0,Trader_AA,0,7
0.20755,t7,0,150,0,bid,185.0,Trader_AA,0,7
0.20761,t11,0,75,0,ask,210.0,Trader_AA,0,7
0.20766,t9,0,100,0,bid,169.0,Trader_AA,0,7
0.20777,t8,0,125,0,bid,177.0,Trader_AA,0,8
0.20782,t11,0,75,0,ask,206.0,Trader_AA,0,8
0.20796,t9,0,100,0,bid,169.0,Trader_AA,0,8
0.20801,t17,0,225,0,ask,212.0,Trader_AA,0,8
0.20807,t20,0,300,0,ask,237.0,Trader_AA,0,8
0.2082,t19,0,275,0,ask,229.0,Trader_AA,0,8
0.2083,t7,0,150,0,bid,185.0,Trader_AA,0,8
0.20835,t6,0,175,0,bid,194.0,Trader_AA,0,8
0.20841,t10,0,75,0,bid,160.0,Trader_AA,0,8
0.20846,t18,0,250,0,ask,221.0,Trader_AA,0,8
0.20852,t1,0,300,0,bid,205.0,Trader_AA,0,8
0.20863,t5,0,200,0,bid,203.0,Trader_AA,0,8
0.20868,t21,0,325,0,ask,246.0,Trader_AA,0,8
0.20884,t16,0,200,0,ask,204.0,Trader_AA,0,8,"Contract:(205.0, 't1', 't16', 0.20884)"
0.20898,t20,0,300,0,ask,367.0,Trader_AA,0,9
0.20904,t6,0,175,0,bid,58.0,Trader_AA,0,9
0.2091,t9,0,100,0,bid,72.0,Trader_AA,0,9
0.20929,t11,0,75,0,ask,270.0,Trader_AA,0,9
0.20934,t19,0,275,0,ask,272.0,Trader_AA,0,9
0.2094,t10,0,75,0,bid,73.0,Trader_AA,0,9
0.20962,t17,0,225,0,ask,255.0,Trader_AA,0,9
0.20972,t21,0,325,0,ask,278.0,Trader_AA,0,9
0.2098,t5,0,200,0,bid,115.0,Trader_AA,0,9
0.20986,t7,0,150,0,bid,127.0,Trader_AA,0,9
0.21001,t8,0,125,0,bid,126.0,Trader_AA,0,9
0.21009,t18,0,250,0,ask,253.0,Trader_AA,0,9
0.21933,t13,0,125,0,ask,308.0,Trader_AA,1,0
0.2194,t3,0,250,0,bid,83.0,Trader_AA,1,0
0.21947,t20,0,300,0,ask,305.0,Trader_AA,1,0
0.21953,t2,0,275,0,bid,147.0,Trader_AA,1,0
0.2196,t21,0,325,0,ask,312.0,Trader_AA,1,0
0.21968,t5,0,200,0,bid,165.0,Trader_AA,1,0
0.21975,t7,0,150,0,bid,160.0,Trader_AA,1,0
0.21981,t6,0,175,0,bid,168.0,Trader_AA,1,0
0.21988,t18,0,250,0,ask,287.0,Trader_AA,1,0
0.21994,t11,0,75,0,ask,246.0,Trader_AA,1,0
0.22001,t9,0,100,0,bid,145.0,Trader_AA,1,0
0.22009,t0,0,325,0,bid,196.0,Trader_AA,1,0
0.22016,t19,0,275,0,ask,256.0,Trader_AA,1,0
0.22026,t1,0,300,0,bid,214.0,Trader_AA,1,0
0.22036,t17,0,225,0,ask,239.0,Trader_AA,1,0
0.22042,t15,0,175,0,ask,229.0,Trader_AA,1,0
0.22049,t12,0,100,0,ask,223.0,Trader_AA,1,0
0.22055,t10,0,75,0,bid,168.0,Trader_AA,1,0
0.22062,t8,0,125,0,bid,184.0,Trader_AA,1,0
0.22071,t16,0,200,0,ask,219.0,Trader_AA,1,0
0.22077,t14,0,150,0,ask,216.0,Trader_AA,1,0
0.22084,t4,0,225,0,bid,216.0,Trader_AA,1,0
0.22093,t3,0,250,0,bid,217.0,Trader_AA,1,1,"Contract:(216.0, 't3', 't14', 0.22094)"
0.22103,t15,0,175,0,ask,325.0,Trader_AA,1,1
0.2211,t0,0,325,0,bid,108.0,Trader_AA,1,1
0.22117,t18,0,250,0,ask,300.0,Trader_AA,1,1
0.22124,t9,0,100,0,bid,105.0,Trader_AA,1,1
0.2213,t21,0,325,0,ask,308.0,Trader_AA,1,1
0.22138,t6,0,175,0,bid,130.0,Trader_AA,1,1
0.2215,t11,0,75,0,ask,242.0,Trader_AA,1,1
0.22157,t12,0,100,0,ask,204.0,Trader_AA,1,1
0.22164,t8,0,125,0,bid,128.0,Trader_AA,1,1
0.22174,t2,0,275,0,bid,156.0,Trader_AA,1,1
0.22184,t17,0,225,0,ask,211.0,Trader_AA,1,1
0.22195,t1,0,300,0,bid,173.0,Trader_AA,1,1
0.22202,t10,0,75,0,bid,140.0,Trader_AA,1,1
0.2221,t4,0,225,0,bid,185.0,Trader_AA,1,1
0.22227,t5,0,200,0,bid,190.0,Trader_AA,1,1
0.22236,t13,0,125,0,ask,198.0,Trader_AA,1,1
0.22247,t7,0,150,0,bid,177.0,Trader_AA,1,1
0.22255,t19,0,275,0,ask,224.0,Trader_AA,1,1
0.22269,t16,0,200,0,ask,199.0,Trader_AA,1,1
0.22279,t20,0,300,0,ask,232.0,Trader_AA,1,1
0.22292,t2,0,275,0,bid,194.0,Trader_AA,1,2
0.22299,t13,0,125,0,ask,195.0,Trader_AA,1,2
0.22307,t7,0,150,0,bid,179.0,Trader_AA,1,2
0.2232,t16,0,200,0,ask,197.0,Trader_AA,1,2
0.22329,t11,0,75,0,ask,193.0,Trader_AA,1,2,"Contract:(194.0, 't2', 't11', 0.22329)"
0.22343,t19,0,275,0,ask,358.0,Trader_AA,1,2
0.22352,t0,0,325,0,bid,108.0,Trader_AA,1,2
0.22361,t10,0,75,0,bid,97.0,Trader_AA,1,2
0.22369,t21,0,325,0,ask,347.0,Trader_AA,1,2
0.22376,t20,0,300,0,ask,331.0,Trader_AA,1,2
