Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.187,t8,0,125,0,bid,42.0,Trader_AA,0,0
0.18704,t4,0,225,0,bid,103.0,Trader_AA,0,0
0.18706,t2,0,275,0,bid,160.0,Trader_AA,0,0
0.18709,t7,0,150,0,bid,157.0,Trader_AA,0,0
0.18711,t6,0,175,0,bid,165.0,Trader_AA,0,0
0.18714,t18,0,250,0,ask,350.0,Trader_AA,0,0
0.18716,t12,0,100,0,ask,287.0,Trader_AA,0,0
0.18719,t13,0,125,0,ask,245.0,Trader_AA,0,0
0.18721,t1,0,300,0,bid,193.0,Trader_AA,0,0
0.18723,t10,0,75,0,bid,154.0,Trader_AA,0,0
0.18726,t17,0,225,0,ask,238.0,Trader_AA,0,0
0.1873,t16,0,200,0,ask,225.0,Trader_AA,0,0
0.18733,t11,0,75,0,ask,213.0,Trader_AA,0,0
0.18736,t15,0,175,0,ask,205.0,Trader_AA,0,0
0.18738,t19,0,275,0,ask,228.0,Trader_AA,0,0
0.18741,t20,0,300,0,ask,237.0,Trader_AA,0,0
0.18743,t14,0,150,0,ask,200.0,Trader_AA,0,0
0.18746,t21,0,325,0,ask,242.0,Trader_AA,0,0
0.18751,t5,0,200,0,bid,195.0,Trader_AA,0,0
0.18753,t3,0,250,0,bid,198.0,Trader_AA,0,0
0.18756,t0,0,325,0,bid,200.0,Trader_AA,0,0
0.18759,t9,0,100,0,bid,167.0,Trader_AA,0,0
0.18763,t9,0,100,0,bid,167.0,Trader_AA,0,1
0.18766,t7,0,150,0,bid,183.0,Trader_AA,0,1
0.18769,t11,0,75,0,ask,199.0,Trader_AA,0,1,"Contract:(200.0, 't0', 't11', 0.18769)"
0.18776,t5,0,200,0,bid,67.0,Trader_AA,0,1
0.18779,t21,0,325,0,ask,375.0,Trader_AA,0,1
0.18782,t2,0,275,0,bid,136.0,Trader_AA,0,1
0.18785,t8,0,125,0,bid,132.0,Trader_AA,0,1
0.18788,t17,0,225,0,ask,325.0,Trader_AA,0,1
0.18791,t14,0,150,0,ask,267.0,Trader_AA,0,1
