Time,Trader,Unit,Max,Earns,Bid/Ask,Offer,Strategy,Period,Round
0.18601,t12,0,100,0,ask,300.0,Trader_AA,0,0
0.18606,t10,0,75,0,bid,25.0,Trader_AA,0,0
0.18609,t14,0,150,0,ask,250.0,Trader_AA,0,0
0.18611,t7,0,150,0,bid,67.0,Trader_AA,0,0
0.18614,t6,0,175,0,bid,103.0,Trader_AA,0,0
0.18619,t16,0,200,0,ask,233.0,Trader_AA,0,0
0.18621,t3,0,250,0,bid,148.0,Trader_AA,0,0
0.18623,t21,0,325,0,ask,264.0,Trader_AA,0,0
0.18628,t5,0,200,0,bid,165.0,Trader_AA,0,0
0.18631,t15,0,175,0,ask,214.0,Trader_AA,0,0
0.18635,t17,0,225,0,ask,218.0,Trader_AA,0,0
0.18638,t18,0,250,0,ask,226.0,Trader_AA,0,0
0.18641,t19,0,275,0,ask,234.0,Trader_AA,0,0
0.18644,t1,0,300,0,bid,183.0,Trader_AA,0,0
0.18646,t11,0,75,0,ask,202.0,Trader_AA,0,0
0.18649,t0,0,325,0,bid,191.0,Trader_AA,0,0
0.18651,t9,0,100,0,bid,161.0,Trader_AA,0,0
0.18654,t8,0,125,0,bid,169.0,Trader_AA,0,0
0.18657,t13,0,125,0,ask,197.0,Trader_AA,0,0
0.1866,t4,0,225,0,bid,194.0,Trader_AA,0,0
0.18663,t2,0,275,0,bid,196.0,Trader_AA,0,0
0.18665,t20,0,300,0,ask,231.0,Trader_AA,0,0
0.18672,t5,0,200,0,bid,197.0,Trader_AA,0,1
0.18675,t12,0,100,0,ask,196.0,Trader_AA,0,1,"Contract:(197.0, 't5', 't12', 0.18676)"
0.18681,t18,0,250,0,ask,350.0,Trader_AA,0,1
0.18686,t16,0,200,0,ask,300.0,Trader_AA,0,1
0.18689,t7,0,150,0,bid,50.0,Trader_AA,0,1
0.18692,t6,0,175,0,bid,92.0,Trader_AA,0,1
0.18695,t15,0,175,0,ask,258.0,Trader_AA,0,1
0.18698,t10,0,75,0,bid,86.0,Trader_AA,0,1
0.18703,t19,0,275,0,ask,264.0,Trader_AA,0,1
0.18709,t13,0,125,0,ask,214.0,Trader_AA,0,1
0.18713,t4,0,225,0,bid,134.0,Trader_AA,0,1
0.18716,t20,0,300,0,ask,243.0,Trader_AA,0,1
0.18719,t11,0,75,0,ask,186.0,Trader_AA,0,1
0.18722,t17,0,225,0,ask,199.0,Trader_AA,0,1
0.18725,t2,0,275,0,bid,153.0,Trader_AA,0,1
0.18728,t0,0,325,0,bid,165.0,Trader_AA,0,1
